00000000) perceptual - 135.45325; gen_gan - 0.35222; feature_matching - 3.50610; equivariance_value - 0.38566; equivariance_jacobian - 0.71901; kp_distance - 4.03942; disc_gan - 0.46968
00000000) perceptual - 135.31346; gen_gan - 0.35533; feature_matching - 3.49987; equivariance_value - 0.38870; equivariance_jacobian - 0.72128; kp_distance - 4.06377; disc_gan - 0.46827
00000000) perceptual - 146.35619; gen_gan - 0.45100; feature_matching - 4.58783; equivariance_value - 0.58141; equivariance_jacobian - 0.89409; kp_distance - 8.30365; disc_gan - 0.38303
00000000) perceptual - 145.30005; gen_gan - 0.45148; feature_matching - 4.55097; equivariance_value - 0.57344; equivariance_jacobian - 0.89123; kp_distance - 8.27100; disc_gan - 0.38327
00000001) perceptual - 131.26965; gen_gan - 0.50305; feature_matching - 4.54689; equivariance_value - 0.48248; equivariance_jacobian - 0.81443; kp_distance - 6.12471; disc_gan - 0.33157
00000001) perceptual - 131.05579; gen_gan - 0.50015; feature_matching - 4.53824; equivariance_value - 0.48259; equivariance_jacobian - 0.81480; kp_distance - 6.13069; disc_gan - 0.33353
00000002) perceptual - 125.94286; gen_gan - 0.53367; feature_matching - 4.91300; equivariance_value - 0.44985; equivariance_jacobian - 0.76993; kp_distance - 5.03567; disc_gan - 0.30449
00000002) perceptual - 126.24563; gen_gan - 0.53885; feature_matching - 4.91350; equivariance_value - 0.45749; equivariance_jacobian - 0.77747; kp_distance - 5.01185; disc_gan - 0.30356
00000003) perceptual - 123.27035; gen_gan - 0.52181; feature_matching - 4.81185; equivariance_value - 0.38170; equivariance_jacobian - 0.74154; kp_distance - 5.27068; disc_gan - 0.31445
00000003) perceptual - 122.63519; gen_gan - 0.52226; feature_matching - 4.79986; equivariance_value - 0.38359; equivariance_jacobian - 0.73994; kp_distance - 5.28012; disc_gan - 0.31281
00000004) perceptual - 117.21639; gen_gan - 0.53075; feature_matching - 4.83816; equivariance_value - 0.38138; equivariance_jacobian - 0.71151; kp_distance - 3.65349; disc_gan - 0.31037
00000004) perceptual - 116.88112; gen_gan - 0.52905; feature_matching - 4.82750; equivariance_value - 0.38103; equivariance_jacobian - 0.71339; kp_distance - 3.66166; disc_gan - 0.30873
00000005) perceptual - 114.13416; gen_gan - 0.47149; feature_matching - 4.17294; equivariance_value - 0.35946; equivariance_jacobian - 0.69155; kp_distance - 2.96015; disc_gan - 0.35983
00000005) perceptual - 113.77738; gen_gan - 0.46792; feature_matching - 4.15145; equivariance_value - 0.35967; equivariance_jacobian - 0.69025; kp_distance - 2.96687; disc_gan - 0.35987
00000006) perceptual - 113.20919; gen_gan - 0.50095; feature_matching - 4.45237; equivariance_value - 0.37138; equivariance_jacobian - 0.69936; kp_distance - 2.87565; disc_gan - 0.32299
00000006) perceptual - 113.16264; gen_gan - 0.50458; feature_matching - 4.45837; equivariance_value - 0.37023; equivariance_jacobian - 0.70784; kp_distance - 2.86772; disc_gan - 0.32199
00000007) perceptual - 111.85662; gen_gan - 0.54465; feature_matching - 4.89524; equivariance_value - 0.37537; equivariance_jacobian - 0.70010; kp_distance - 3.74911; disc_gan - 0.29975
00000007) perceptual - 112.05468; gen_gan - 0.54214; feature_matching - 4.90065; equivariance_value - 0.37387; equivariance_jacobian - 0.69623; kp_distance - 3.74028; disc_gan - 0.30087
00000008) perceptual - 110.54012; gen_gan - 0.49875; feature_matching - 4.43975; equivariance_value - 0.34838; equivariance_jacobian - 0.67108; kp_distance - 3.75837; disc_gan - 0.33836
00000008) perceptual - 110.44120; gen_gan - 0.49869; feature_matching - 4.44203; equivariance_value - 0.34590; equivariance_jacobian - 0.67243; kp_distance - 3.76013; disc_gan - 0.33631
00000009) perceptual - 108.07990; gen_gan - 0.53937; feature_matching - 4.71837; equivariance_value - 0.41879; equivariance_jacobian - 0.65545; kp_distance - 3.93892; disc_gan - 0.29817
00000009) perceptual - 108.51338; gen_gan - 0.53947; feature_matching - 4.73802; equivariance_value - 0.42227; equivariance_jacobian - 0.65470; kp_distance - 3.93414; disc_gan - 0.29841
00000010) perceptual - 106.16889; gen_gan - 0.53863; feature_matching - 4.74410; equivariance_value - 0.37978; equivariance_jacobian - 0.61724; kp_distance - 4.14487; disc_gan - 0.30225
00000010) perceptual - 105.99093; gen_gan - 0.53821; feature_matching - 4.74084; equivariance_value - 0.37933; equivariance_jacobian - 0.61558; kp_distance - 4.16435; disc_gan - 0.30517
00000011) perceptual - 104.39850; gen_gan - 0.54080; feature_matching - 4.71172; equivariance_value - 0.27283; equivariance_jacobian - 0.56841; kp_distance - 4.08339; disc_gan - 0.30205
00000011) perceptual - 104.94316; gen_gan - 0.54515; feature_matching - 4.73661; equivariance_value - 0.27164; equivariance_jacobian - 0.56498; kp_distance - 4.09246; disc_gan - 0.29695
00000012) perceptual - 106.48573; gen_gan - 0.56681; feature_matching - 4.86860; equivariance_value - 0.25734; equivariance_jacobian - 0.55813; kp_distance - 4.08082; disc_gan - 0.28567
00000012) perceptual - 106.30597; gen_gan - 0.56313; feature_matching - 4.86392; equivariance_value - 0.25816; equivariance_jacobian - 0.56063; kp_distance - 4.07442; disc_gan - 0.28335
00000013) perceptual - 102.44250; gen_gan - 0.55162; feature_matching - 4.71806; equivariance_value - 0.25469; equivariance_jacobian - 0.53525; kp_distance - 4.10091; disc_gan - 0.29277
00000013) perceptual - 102.59724; gen_gan - 0.55555; feature_matching - 4.72737; equivariance_value - 0.25367; equivariance_jacobian - 0.53452; kp_distance - 4.10133; disc_gan - 0.29169
00000014) perceptual - 100.72943; gen_gan - 0.55090; feature_matching - 4.67100; equivariance_value - 0.24009; equivariance_jacobian - 0.51953; kp_distance - 4.10540; disc_gan - 0.29334
00000014) perceptual - 101.20450; gen_gan - 0.55436; feature_matching - 4.68613; equivariance_value - 0.23935; equivariance_jacobian - 0.52120; kp_distance - 4.11540; disc_gan - 0.29142
00000015) perceptual - 128.87592; gen_gan - 0.52971; feature_matching - 4.98695; equivariance_value - 1.03338; equivariance_jacobian - 1.11311; kp_distance - 3.06219; disc_gan - 0.32256
00000015) perceptual - 129.35895; gen_gan - 0.52955; feature_matching - 5.00623; equivariance_value - 1.03586; equivariance_jacobian - 1.34561; kp_distance - 3.06633; disc_gan - 0.32316
00000016) perceptual - 130.05957; gen_gan - 0.65437; feature_matching - 6.06072; equivariance_value - 1.20987; equivariance_jacobian - 1.09387; kp_distance - 2.49750; disc_gan - 0.23166
00000016) perceptual - 130.40375; gen_gan - 0.65667; feature_matching - 6.07142; equivariance_value - 1.21581; equivariance_jacobian - 1.11901; kp_distance - 2.50535; disc_gan - 0.22989
00000017) perceptual - 127.53539; gen_gan - 0.65713; feature_matching - 6.06636; equivariance_value - 1.24447; equivariance_jacobian - 0.95929; kp_distance - 2.55362; disc_gan - 0.23302
00000017) perceptual - 128.02312; gen_gan - 0.66149; feature_matching - 6.09086; equivariance_value - 1.24765; equivariance_jacobian - 0.97049; kp_distance - 2.55746; disc_gan - 0.23179
00000018) perceptual - 124.46388; gen_gan - 0.65467; feature_matching - 5.93011; equivariance_value - 1.08616; equivariance_jacobian - 0.84692; kp_distance - 2.51573; disc_gan - 0.23395
00000018) perceptual - 124.31076; gen_gan - 0.65204; feature_matching - 5.91323; equivariance_value - 1.08522; equivariance_jacobian - 0.84514; kp_distance - 2.52279; disc_gan - 0.23515
00000019) perceptual - 121.03796; gen_gan - 0.64724; feature_matching - 5.76753; equivariance_value - 0.96302; equivariance_jacobian - 0.82639; kp_distance - 2.07546; disc_gan - 0.23765
00000019) perceptual - 120.30312; gen_gan - 0.64753; feature_matching - 5.73829; equivariance_value - 0.96164; equivariance_jacobian - 0.82543; kp_distance - 2.07566; disc_gan - 0.23743
00000020) perceptual - 117.94888; gen_gan - 0.63994; feature_matching - 5.61747; equivariance_value - 0.81629; equivariance_jacobian - 0.80276; kp_distance - 1.95911; disc_gan - 0.23916
00000020) perceptual - 117.21817; gen_gan - 0.64239; feature_matching - 5.59170; equivariance_value - 0.82388; equivariance_jacobian - 0.80425; kp_distance - 1.95957; disc_gan - 0.24163
00000021) perceptual - 115.12337; gen_gan - 0.63653; feature_matching - 5.47828; equivariance_value - 0.68233; equivariance_jacobian - 0.77934; kp_distance - 2.11074; disc_gan - 0.24148
00000021) perceptual - 114.93673; gen_gan - 0.63396; feature_matching - 5.47666; equivariance_value - 0.67806; equivariance_jacobian - 0.77786; kp_distance - 2.11695; disc_gan - 0.24473
00000022) perceptual - 111.36124; gen_gan - 0.48509; feature_matching - 3.88990; equivariance_value - 0.56014; equivariance_jacobian - 0.75619; kp_distance - 2.06676; disc_gan - 0.36198
00000022) perceptual - 111.55884; gen_gan - 0.48494; feature_matching - 3.90448; equivariance_value - 0.56371; equivariance_jacobian - 0.75721; kp_distance - 2.06365; disc_gan - 0.35893
00000023) perceptual - 108.12660; gen_gan - 0.58225; feature_matching - 4.88006; equivariance_value - 0.48791; equivariance_jacobian - 0.72478; kp_distance - 1.90038; disc_gan - 0.27018
00000023) perceptual - 109.24778; gen_gan - 0.58413; feature_matching - 4.91244; equivariance_value - 0.48910; equivariance_jacobian - 0.72769; kp_distance - 1.90501; disc_gan - 0.26890
